City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Port Augusta,AU,79.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
419,Cao Bang,VN,68.74,overcast clouds,22.6667,106.25,khách sạn 88
420,Axim,GH,78.69,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
421,Ouadda,CF,70.45,few clouds,8.0777,22.4007,
423,Bondo,CD,69.66,overcast clouds,3.8146,23.6866,
430,Canavieiras,BR,73.8,light rain,-15.675,-38.9472,Bahiadomizil
431,Shrigonda,IN,70.56,scattered clouds,18.6167,74.6833,Hotel Dnyashwari
434,Panalingaan,PH,84.76,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
437,Flinders,AU,69.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
439,Omboue,GA,76.17,overcast clouds,-1.5746,9.2618,Hotel Olako
441,Celestun,MX,76.3,overcast clouds,20.8667,-90.4,Posada Lilia
443,Lingao,CN,71.1,few clouds,19.9103,109.6859,Lingao Ditai Inn
447,Atambua,ID,78.94,heavy intensity rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
452,Coro,VE,77.09,overcast clouds,11.4045,-69.6734,Federal
454,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
458,Tutoia,BR,80.8,broken clouds,-2.7619,-42.2744,Pousada Guará's
463,Lorengau,PG,83.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
467,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
471,Kahului,US,73.42,light rain,20.8947,-156.47,Maui Seaside Hotel
473,Daru,PG,84.18,overcast clouds,-9.0763,143.2092,Daru Lodge
474,Houston,US,72.41,mist,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
476,Basco,PH,72.37,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
477,Harlingen,US,74.34,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
478,Talara,PE,66.45,few clouds,-4.5772,-81.2719,Hostal Oro Negro
483,Uarini,BR,73.49,overcast clouds,-2.99,-65.1083,
486,Buluang,PH,81.25,overcast clouds,13.3068,123.3425,
487,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
493,Catia La Mar,VE,80.49,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
494,Ahuimanu,US,73.45,broken clouds,21.4447,-157.8378,Paradise Bay Resort
495,Labrea,BR,74.32,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
497,Faanui,PF,81.46,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
507,Amargosa,BR,69.39,moderate rain,-13.0303,-39.6047,Hotel Amargosa
511,Lundazi,ZM,67.19,clear sky,-12.2929,33.1782,Knox Lodge
515,Swan Hill,AU,73.85,clear sky,-35.3378,143.5544,
517,Itarema,BR,80.37,broken clouds,-2.9248,-39.9167,
518,Alta Floresta,BR,71.38,very heavy rain,-9.8756,-56.0861,
519,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,
523,Katobu,ID,79.2,moderate rain,-4.9408,122.5276,
525,Vaitape,PF,81.48,scattered clouds,-16.5167,-151.75,
526,Mana,GF,76.78,broken clouds,5.6592,-53.7767,
527,Port Macquarie,AU,78.76,thunderstorm,-31.4333,152.9167,
528,Pyu,MM,77.56,few clouds,18.4833,96.4333,
529,Harper,LR,78.58,overcast clouds,4.375,-7.7169,
532,Kharhial,IN,68.38,overcast clouds,20.2833,82.7667,
534,Kigoma,TZ,71.82,broken clouds,-4.8769,29.6267,
536,Apache Junction,US,69.46,clear sky,33.4151,-111.5496,
538,Poso,ID,80.6,overcast clouds,-1.3959,120.7524,
539,Luanda,AO,78.8,light rain,-8.8368,13.2343,
541,Yaan,NG,72.86,few clouds,7.3833,8.5667,
543,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,
544,Santa Maria,BR,69.1,clear sky,-29.6842,-53.8069,
547,Hirara,JP,68.27,scattered clouds,24.8,125.2833,
557,Dhone,IN,75.52,overcast clouds,15.4167,77.8833,
558,Drexel Heights,US,68.97,clear sky,32.1412,-111.0284,
559,Malkapur,IN,70.86,few clouds,20.8833,76.2,
561,Am Timan,TD,74.73,clear sky,11.0297,20.2827,
564,Chorozinho,BR,83.8,overcast clouds,-4.3003,-38.4978,
565,Trincomalee,LK,78.71,overcast clouds,8.5711,81.2335,
566,El Campo,US,70.29,clear sky,29.1966,-96.2697,
569,Guarapari,BR,71.49,overcast clouds,-20.6667,-40.4975,
570,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,
571,Weligama,LK,80.58,broken clouds,5.9667,80.4167,
572,Djibo,BF,74.48,scattered clouds,14.1022,-1.6306,
574,Tevaitoa,PF,81.54,few clouds,-16.7833,-151.5,
575,Kailua,US,73.74,overcast clouds,21.4022,-157.7394,
576,Umm Lajj,SA,74.19,scattered clouds,25.0213,37.2685,
581,Kyabe,TD,75.9,clear sky,9.4515,18.9449,
582,Wattegama,LK,74.32,broken clouds,6.7989,81.4808,
584,Beloha,MG,75.54,clear sky,-25.1667,45.05,
587,Poum,NC,81.12,light rain,-20.2333,164.0167,
590,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,
593,Sao Miguel Do Araguaia,BR,73.96,overcast clouds,-13.275,-50.1628,
596,Acarau,BR,80.22,broken clouds,-2.8856,-40.12,
597,Quibdo,CO,73.92,overcast clouds,5.6947,-76.6611,
599,Kiama,AU,70.0,overcast clouds,-34.6833,150.8667,
600,Bakel,SN,78.13,broken clouds,14.905,-12.4568,
604,Marsh Harbour,BS,73.63,overcast clouds,26.5412,-77.0636,
605,Piripiri,BR,76.51,moderate rain,-4.2733,-41.7769,
606,Ankazoabo,MG,76.95,clear sky,-22.2833,44.5167,
607,Umm Kaddadah,SD,67.48,clear sky,13.6017,26.6876,
608,Takoradi,GH,79.39,overcast clouds,4.8845,-1.7554,
612,Dostpur,IN,67.24,overcast clouds,26.2833,82.4667,
614,Alto Araguaia,BR,70.92,few clouds,-17.3147,-53.2153,
621,Kita,ML,72.88,overcast clouds,13.0349,-9.4895,
622,Iracoubo,GF,76.5,scattered clouds,5.4802,-53.2011,
623,Kilindoni,TZ,79.86,moderate rain,-7.9139,39.6668,
624,Hope,US,66.25,overcast clouds,33.6671,-93.5916,
625,Deniliquin,AU,74.68,clear sky,-35.5333,144.9667,
633,Rabaul,PG,83.62,light rain,-4.1967,152.1721,
635,Iralaya,HN,76.84,overcast clouds,15.0,-83.2333,
636,Goulburn,AU,73.65,clear sky,-34.75,149.7167,
638,Itaueira,BR,73.42,broken clouds,-7.6033,-43.0256,
640,Dutlwe,BW,70.79,broken clouds,-23.9833,23.9,
642,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,
643,Lodwar,KE,79.09,scattered clouds,3.1191,35.5973,
646,Chumphon,TH,78.91,broken clouds,10.3333,98.8333,
647,Puerto Baquerizo Moreno,EC,67.41,clear sky,-0.9,-89.6,
649,Ransang,PH,84.07,scattered clouds,8.9603,117.5828,
651,Serowe,BW,75.54,few clouds,-22.3833,26.7167,
652,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,
654,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,
658,Betare Oya,CM,69.84,overcast clouds,5.6,14.0833,
664,Imbituba,BR,71.82,light rain,-28.24,-48.6703,
666,Thinadhoo,MV,82.4,scattered clouds,0.5333,72.9333,
668,Dong Hoi,VN,69.01,broken clouds,17.4833,106.6,
670,Puerto Carreno,CO,79.09,broken clouds,6.189,-67.4859,
672,Nalvo,PH,81.16,few clouds,16.8096,120.5108,
673,Lafiagi,NG,73.33,overcast clouds,8.8667,5.4167,
675,Ugoofaaru,MV,81.9,clear sky,5.6667,73.0,
678,Picton,AU,70.02,scattered clouds,-34.1833,150.6,
679,Papara,BR,82.72,broken clouds,-3.9839,-38.7273,
682,Balingasay,PH,79.7,broken clouds,16.3573,119.8564,
684,Barra Do Garcas,BR,75.15,overcast clouds,-15.89,-52.2567,
688,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,
689,Kidal,ML,69.85,few clouds,18.4411,1.4078,
690,Santa Luzia,BR,68.9,scattered clouds,-19.7697,-43.8514,
691,Mount Darwin,ZW,70.07,clear sky,-16.7725,31.5838,
692,Owando,CG,71.13,overcast clouds,-0.4819,15.8999,
693,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,
